VideoID,Start,End,WorkerID,Source,AnnotationTime,Language,Description

mv89psg6zh4,33,46,588702,unverified,55,Slovene,Papagaj se umiva pod tekočo vodo v lijaku.
ZbzDGXEwtGc,6,15,588702,unverified,76,Slovene,Veliko potniško letalo zavija v zraku.
jbzaMtPYtl8,48,58,588702,unverified,70,Slovene,Dva moška prestavljata velike pnevmatike.
g36ho6UrBz0,5,20,588702,unverified,46,Slovene,Moški igra na kitaro.
04Gt01vatkk,248,265,588702,unverified,68,Slovene,Punca z nožem naseklja čebulo.
buJ5HDCinrM,150,166,588702,unverified,47,Slovene,Ženska si liči obraz.
M_TP6UTrh30,343,358,588702,unverified,55,Slovene,Glasbena skupina igra na odru pred množico.
8mSUD7JGNO0,174,181,588702,unverified,57,Slovene,Punca jaha konja.
ljGcQocjSs4,38,60,588702,unverified,82,Slovene,Nekdo s pištolo strelja na tarče.
n2NLoLNecgI,168,178,588702,unverified,29,Slovene,Ženska igra na violino.
6q1dX6thX3E,286,295,588702,unverified,45,Slovene,Moški se pogovarja po telefonu.
mFCf8lLXrUc,25,35,588702,unverified,51,Slovene,Nekdo olupi in razreže mango.
6eokrw6_bjU,1,9,588702,unverified,43,Slovene,Ženska strelja z avtomatskim orožjem.
E2r6nnkwl0c,6,18,588702,unverified,40,Slovene,Moški s pomola skačejo v vodo.
n016q1w8Q30,2,11,649387,unverified,37,Portuguese,Uma pessoa faz truques com cartas de baralho.
rQuNYxNmA6M,0,4,713690,unverified,52,Estonian,Mehed harjutavad pesapalli
ByGspTdA1ug,16,24,510157,unverified,26,Chinese,貓被主人拖在地上
-_hbPLsZvvo,323,328,588702,unverified,42,Slovene,Ženska dekorira hrano na pladnju.
6t0BpjwYKco,217,229,588702,unverified,52,Slovene,Ženska začini zrezek.
MTkGPfMRXtc,5,21,510157,unverified,47,Chinese,把很多信封捆綁起來
aeA-HN7BMdo,34,41,588702,unverified,71,Slovene,Ženska z nožem razreže brokoli.
WWf0Z6ak3Dg,5,15,588702,unverified,49,Slovene,Pes se podi po travniku z veliko žogo.
DBvSfds3FH4,76,80,588702,unverified,164,Slovene,Ženska gnete testo z rokami.
Ms3QdGIzltU,1,16,588702,unverified,50,Slovene,Hrček je semena iz tal.
nS6oQxX_Qi8,2,12,588702,unverified,38,Slovene,Moški igra na trobento.
pDvzOLRLjPc,0,8,588702,unverified,124,Slovene,Moški hrani pando po flaški.
LQ-jv8g1YVI,1,6,588702,unverified,62,Slovene,Mačka se vozi na robotskemu sesalniku.
kquB3rIgfGk,640,645,588702,unverified,39,Slovene,Moški pije vodo iz kozarca.
BVjvRpmHg0w,157,165,588702,unverified,65,Slovene,Ženska z nožem razreže brokoli.
QzcTlEpAigQ,0,14,588702,unverified,45,Slovene,Pes polula ograjo na jahti.
KLgPTlBLHmo,18,21,588702,unverified,36,Slovene,Učenci v razredu zaplešejo.
AysIdzGF-7M,6,14,615204,unverified,91,Malay,Anak kuching bermain dengan tali.
iwpnUHFhjWc,9,14,649387,unverified,46,Portuguese,Uma mulher está dançando.
D-K3ThvAqfo,126,130,588702,unverified,48,Slovene,Moški se s kolesom vozi okoli plešoče ženske.
bJJndejsUWc,88,98,588702,unverified,40,Slovene,Skupina glasbenikov igra na odru.
Xh6rdpJNaf0,0,15,588702,unverified,43,Slovene,Zajec si liže tačko.
eyBmG9ZZnLM,215,219,588702,unverified,40,Slovene,Moški leži na ležalniku na obali.
nwk4m329bLw,2,10,588702,unverified,64,Slovene,Ženska sprehaja več psov.
ItFqogTmAvQ,389,395,588702,unverified,59,Slovene,Moški in ženska tečeta po dvorišču.
PCXHuseKwDc,17,20,588702,unverified,40,Slovene,Moški naliva hladilno tekočino v hladilnik avta.
9Bxknsvy3jQ,53,58,588702,unverified,54,Slovene,Moški naredi salto s skirojem.
a1Y73sPHKxw,0,5,588702,unverified,52,Slovene,Veverica se hitro obrne in gleda v kamero.
ph-72iVQQnU,38,48,588702,unverified,166,Slovene,Ženska govori s solzami v očeh.
C1MNCR1o9lU,0,7,588702,unverified,35,Slovene,Ženska hrani dojenčka po steklenički.
zzit5b_-ukg,5,20,588702,unverified,53,Slovene,Majhen fantek televadi na fitnes napravi.
w9mqbwOIkVg,6,12,588702,unverified,56,Slovene,Moški dviga uteži in govori v kamero.
lAznAeFFldg,6,10,588702,unverified,78,Slovene,Kolesar skoči pri spustu s kolesom po gozdu.
VF1K_6ZSOAY,23,28,588702,unverified,63,Slovene,Škatla na mizi se premika proti ženski ki sedi za mizo.
j2Dhf-xFUxU,13,20,588702,unverified,38,Slovene,Nekdo z nožem prereže tortilje.
_txL575S_OA,13,23,588702,unverified,38,Slovene,Zebre se pasejo na polju.
E6sqA9QtV5I,195,201,588702,unverified,42,Slovene,Moški in ženska se poljubljata.
XzCcRzEa83U,1,8,588702,unverified,46,Slovene,Opica porine drugo opico tako da pade po tleh.
8jP8CC2rKj4,80,88,588702,unverified,76,Slovene,Delfin skoči nazaj v vodo.
HBCJYhUjVf0,0,9,588702,unverified,43,Slovene,Lev skoči na ogrado.
uRo_vJ-zy-U,35,40,588702,unverified,38,Slovene,Moški strelja s puško v tarčo.
n6U-TGahwvs,100,110,588702,unverified,79,Slovene,Glasbeniki igrajo in pojejo na odru.
Uc63MFVwfrs,360,372,588702,unverified,44,Slovene,Moški z nožem nareže kuhan krompir.
bQJQGoJF7_k,109,115,588702,unverified,53,Slovene,Moški vsipa začimbe v vodo v posodici.
3SKyc0aKx70,46,52,588702,unverified,71,Slovene,Fantje izvajajo skoke na trampolinu.
6t0BpjwYKco,46,53,588702,unverified,35,Slovene,Ženska olupi bučko.
iju4KO-3KnY,2,12,588702,unverified,124,Slovene,Ženska si šminka ustnice.
PuQVs2Ch1LY,5,15,588702,unverified,47,Slovene,Punčka igra na flavto.
elQqQfux7Po,12,22,588702,unverified,27,Slovene,Pes je lubenico.
zFIn8DeV5PM,20,33,516473,unverified,79,Portuguese,um homem toca piano
dEn5E-TNezw,13,23,588702,unverified,38,Slovene,Jež grize in vleče brisačo.
J3_hkgu6MGc,43,52,588702,unverified,43,Slovene,Avto se ponoči pripelje po cesti in ustavi.
q9ew_nITQWY,54,62,588702,unverified,41,Slovene,Igralci igrajo kriket.
6owu8Mow0_g,302,307,588702,unverified,43,Slovene,Moški posuje nariban sir po testu za pico.
WTf5EgVY5uU,98,104,588702,unverified,38,Slovene,Ženska ubija jajca v posodo.
9W6aQNcU3PA,92,103,588702,unverified,62,Slovene,Ženska si pili nohte.
